,Time,Temperature_Probe1,Temperature_Probe2
432,4.32,0.3,0.5
433,4.33,0.3,0.5
434,4.34,0.2,0.5
435,4.35,0.3,0.5
436,4.36,-0.4,0.4
437,4.37,0.4,0.5
438,4.38,0.2,0.5
439,4.39,0.1,0.5
440,4.4,0.3,0.5
441,4.41,-0.4,0.4
442,4.42,0.3,0.4
443,4.43,0.3,0.6
444,4.44,0.2,0.5
445,4.45,0.3,0.5
446,4.46,-0.4,0.4
447,4.47,0.4,0.5
448,4.48,0.2,0.5
449,4.49,0.2,0.5
450,4.5,0.3,0.5
451,4.51,-0.4,0.4
452,4.52,0.3,0.5
453,4.53,0.2,0.5
454,4.54,0.2,0.5
455,4.55,0.3,0.5
456,4.56,-0.4,0.4
457,4.57,0.4,0.5
458,4.58,0.2,0.5
459,4.59,0.2,0.5
460,4.6,0.3,0.5
461,4.61,-0.4,0.4
462,4.62,0.3,0.4
463,4.63,0.2,0.6
464,4.64,0.2,0.5
465,4.65,0.3,0.5
466,4.66,-0.4,0.4
467,4.67,0.4,0.5
468,4.68,0.1,0.5
469,4.69,0.2,0.5
470,4.7,0.4,0.5
471,4.71,-0.3,0.4
472,4.72,0.3,0.4
473,4.73,0.2,0.5
474,4.74,0.2,0.5
475,4.75,0.3,0.5
476,4.76,-0.4,0.4
477,4.77,0.4,0.5
478,4.78,0.1,0.5
479,4.79,0.2,0.4
480,4.8,0.3,0.5
481,4.81,-0.3,0.4
482,4.82,0.3,0.4
483,4.83,0.3,0.5
484,4.84,0.3,0.5
485,4.85,0.3,0.5
486,4.86,-0.4,0.4
487,4.87,0.4,0.4
488,4.88,0.1,0.5
489,4.89,0.2,0.5
490,4.9,0.4,0.5
491,4.91,-0.3,0.4
492,4.92,0.3,0.4
493,4.93,0.2,0.5
494,4.94,0.3,0.5
495,4.95,0.3,0.5
496,4.96,-0.3,0.4
497,4.97,0.4,0.4
498,4.98,0.1,0.5
499,4.99,0.2,0.4
500,5.0,0.4,0.5
501,5.01,-0.3,0.4
502,5.02,0.3,0.4
503,5.03,0.2,0.5
504,5.04,0.3,0.5
505,5.05,0.3,0.5
506,5.06,-0.4,0.4
507,5.07,0.4,0.4
508,5.08,0.1,0.5
509,5.09,0.2,0.4
510,5.1,0.3,0.5
511,5.11,-0.3,0.4
512,5.12,0.4,0.4
513,5.13,0.2,0.5
514,5.14,0.2,0.5
515,5.15,0.3,0.5
516,5.16,-0.4,0.4
517,5.17,0.4,0.4
518,5.18,0.2,0.5
519,5.19,0.2,0.4
520,5.2,0.3,0.5
521,5.21,-0.3,0.4
522,5.22,0.5,0.4
523,5.23,0.2,0.5
524,5.24,0.2,0.4
525,5.25,0.3,0.5
526,5.26,-0.3,0.4
527,5.27,0.3,0.4
528,5.28,0.2,0.5
529,5.29,0.2,0.4
530,5.3,0.3,0.5
531,5.31,-0.4,0.4
532,5.32,0.4,0.4
533,5.33,0.1,0.5
534,5.34,0.2,0.4
535,5.35,0.4,0.5
