Time,Temperature 
2025-02-14 10:53:55.016185,97.734375
2025-02-14 10:53:55.173656,97.8046875
2025-02-14 10:53:55.330077,97.8515625
2025-02-14 10:53:55.486981,97.921875
2025-02-14 10:53:55.648575,97.734375
2025-02-14 10:53:55.805926,98.0078125
2025-02-14 10:53:55.963442,97.9296875
2025-02-14 10:53:56.120068,98.03125
2025-02-14 10:53:56.276502,97.9921875
2025-02-14 10:53:56.432974,97.953125
2025-02-14 10:53:56.590114,98.0390625
2025-02-14 10:53:56.747259,97.953125
2025-02-14 10:53:56.904432,97.9921875
2025-02-14 10:53:57.060820,91.171875
2025-02-14 10:53:57.217176,80.234375
2025-02-14 10:53:57.373450,74.3125
2025-02-14 10:53:57.530842,46.953125
2025-02-14 10:53:57.687510,16.8515625
2025-02-14 10:53:57.844748,5.953125
2025-02-14 10:53:58.001192,3.5859375
2025-02-14 10:53:58.157700,4.3828125
2025-02-14 10:53:58.314541,4.5
2025-02-14 10:53:58.472907,4.9765625
2025-02-14 10:53:58.630565,3.984375
2025-02-14 10:53:58.791340,4.140625
2025-02-14 10:53:58.956306,4.5703125
2025-02-14 10:53:59.121563,4.9140625
2025-02-14 10:53:59.287240,5.15625
2025-02-14 10:53:59.452836,5.609375
2025-02-14 10:53:59.617611,6.3359375
2025-02-14 10:53:59.782828,6.828125
2025-02-14 10:53:59.947082,7.1328125
2025-02-14 10:54:00.110839,7.265625
2025-02-14 10:54:00.275068,7.4140625
2025-02-14 10:54:00.439470,7.4453125
2025-02-14 10:54:00.603287,7.484375
2025-02-14 10:54:00.770073,7.390625
2025-02-14 10:54:00.933922,7.375
2025-02-14 10:54:01.100100,7.1640625
2025-02-14 10:54:01.262248,6.828125
2025-02-14 10:54:01.427042,6.2890625
2025-02-14 10:54:01.591142,5.71875
2025-02-14 10:54:01.755432,5.8359375
2025-02-14 10:54:01.918986,5.9453125
2025-02-14 10:54:02.084480,5.90625
2025-02-14 10:54:02.248513,5.84375
2025-02-14 10:54:02.412565,5.6015625
2025-02-14 10:54:02.576126,5.4140625
2025-02-14 10:54:02.740246,5.125
2025-02-14 10:54:02.904688,4.8515625
2025-02-14 10:54:03.068180,4.609375
2025-02-14 10:54:03.232587,4.1796875
2025-02-14 10:54:03.397703,3.3046875
2025-02-14 10:54:03.563042,3.1328125
2025-02-14 10:54:03.726277,3.0234375
2025-02-14 10:54:03.892316,3.0
2025-02-14 10:54:04.058016,2.9296875
2025-02-14 10:54:04.221432,2.890625
2025-02-14 10:54:04.386019,2.953125
2025-02-14 10:54:04.549935,2.734375
2025-02-14 10:54:04.714318,2.734375
2025-02-14 10:54:04.877793,2.5078125
2025-02-14 10:54:05.042294,2.3515625
2025-02-14 10:54:05.205883,2.3046875
2025-02-14 10:54:05.369425,2.1875
2025-02-14 10:54:05.534337,2.1796875
2025-02-14 10:54:05.699882,2.3125
2025-02-14 10:54:05.863149,2.84375
2025-02-14 10:54:06.027865,3.859375
2025-02-14 10:54:06.192990,15.6015625
2025-02-14 10:54:06.359246,92.234375
2025-02-14 10:54:06.524641,97.8359375
2025-02-14 10:54:06.689596,98.109375
2025-02-14 10:54:06.855371,97.875
2025-02-14 10:54:07.020321,97.90625
2025-02-14 10:54:07.184976,97.90625
2025-02-14 10:54:07.349761,97.8359375
2025-02-14 10:54:07.515602,97.9453125
2025-02-14 10:54:07.680328,97.8515625
2025-02-14 10:54:07.844686,97.828125
2025-02-14 10:54:08.009508,97.90625
2025-02-14 10:54:08.173597,97.921875
2025-02-14 10:54:08.338547,97.828125
2025-02-14 10:54:08.501824,98.0625
2025-02-14 10:54:08.666363,97.921875
2025-02-14 10:54:08.829681,97.8046875
2025-02-14 10:54:08.993095,98.0078125
2025-02-14 10:54:09.157806,97.7890625
2025-02-14 10:54:09.321369,97.953125
2025-02-14 10:54:09.486494,97.8359375
2025-02-14 10:54:09.650539,98.0078125
2025-02-14 10:54:09.814180,97.984375
2025-02-14 10:54:09.977705,97.9921875
2025-02-14 10:54:10.142093,97.953125
2025-02-14 10:54:10.305736,97.96875
2025-02-14 10:54:10.472739,98.015625
2025-02-14 10:54:10.636225,97.9453125
2025-02-14 10:54:10.799904,97.9453125
2025-02-14 10:54:10.963984,97.96875
2025-02-14 10:54:11.127625,97.953125
2025-02-14 10:54:11.291693,98.0390625
2025-02-14 10:54:11.458410,98.0625
2025-02-14 10:54:11.622362,98.078125
2025-02-14 10:54:11.786242,97.921875
2025-02-14 10:54:11.950243,97.921875
2025-02-14 10:54:12.114015,97.9296875
2025-02-14 10:54:12.278204,97.8984375
2025-02-14 10:54:12.441676,97.9921875
2025-02-14 10:54:12.604962,97.8828125
2025-02-14 10:54:12.771565,98.1015625
2025-02-14 10:54:12.936693,97.875
2025-02-14 10:54:13.102032,97.984375
2025-02-14 10:54:13.266730,98.0625
2025-02-14 10:54:13.425214,98.015625
2025-02-14 10:54:13.588114,97.8984375
2025-02-14 10:54:13.745475,97.8046875
2025-02-14 10:54:13.901894,97.90625
2025-02-14 10:54:14.059255,98.078125
2025-02-14 10:54:14.215576,91.1875
2025-02-14 10:54:14.372289,79.859375
2025-02-14 10:54:14.528963,68.09375
2025-02-14 10:54:14.686224,30.1875
2025-02-14 10:54:14.842864,13.46875
2025-02-14 10:54:14.999443,4.25
2025-02-14 10:54:15.155859,2.2734375
2025-02-14 10:54:15.312170,2.0703125
2025-02-14 10:54:15.469561,2.0546875
2025-02-14 10:54:15.626056,2.25
2025-02-14 10:54:15.783683,2.3359375
2025-02-14 10:54:15.940051,2.3515625
2025-02-14 10:54:16.096552,2.421875
2025-02-14 10:54:16.252847,2.5078125
2025-02-14 10:54:16.410568,2.59375
2025-02-14 10:54:16.567151,2.7890625
2025-02-14 10:54:16.726197,3.0
2025-02-14 10:54:16.883277,3.0
2025-02-14 10:54:17.039902,3.2734375
2025-02-14 10:54:17.196608,3.2109375
2025-02-14 10:54:17.354032,3.15625
2025-02-14 10:54:17.510920,3.2109375
2025-02-14 10:54:17.668599,3.171875
2025-02-14 10:54:17.825634,3.109375
2025-02-14 10:54:17.982593,3.0625
2025-02-14 10:54:18.139699,2.9765625
2025-02-14 10:54:18.297406,2.9296875
2025-02-14 10:54:18.455155,2.8515625
2025-02-14 10:54:18.618818,2.7890625
2025-02-14 10:54:18.782629,2.8515625
2025-02-14 10:54:18.947201,2.8125
2025-02-14 10:54:19.112633,2.890625
2025-02-14 10:54:19.276484,2.78125
2025-02-14 10:54:19.444207,2.8125
2025-02-14 10:54:19.608509,2.765625
2025-02-14 10:54:19.773953,2.734375
2025-02-14 10:54:19.938179,2.765625
2025-02-14 10:54:20.104089,3.0390625
2025-02-14 10:54:20.269418,3.0390625
2025-02-14 10:54:20.433129,3.0234375
2025-02-14 10:54:20.596916,2.984375
2025-02-14 10:54:20.760881,3.0234375
2025-02-14 10:54:20.925849,2.9140625
2025-02-14 10:54:21.089845,2.984375
2025-02-14 10:54:21.255153,3.1484375
2025-02-14 10:54:21.419848,3.796875
2025-02-14 10:54:21.584260,4.9296875
2025-02-14 10:54:21.749934,9.546875
2025-02-14 10:54:21.911916,90.328125
2025-02-14 10:54:22.069265,97.7421875
2025-02-14 10:54:22.225718,98.203125
2025-02-14 10:54:22.382763,98.203125
2025-02-14 10:54:22.539223,98.015625
2025-02-14 10:54:22.696635,98.3125
2025-02-14 10:54:22.853330,97.765625
2025-02-14 10:54:23.010429,97.984375
2025-02-14 10:54:23.168408,97.921875
2025-02-14 10:54:23.325165,97.9453125
2025-02-14 10:54:23.483372,98.2421875
