"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00442208","DALE ENTERPRISE, VA US","1893-12-07","47","27",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-08","44","28",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-09","43","23",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-10","51","31",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-11","50","27",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-12","62","26",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-13","32","24",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-14","30","11",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-15","62","22",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-16","58","49",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-17","35","25",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-18","36","19",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-19","38","28",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-20",,"14",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-21","51","15",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-22","61","32",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-23","64","36",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-24","65","34",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-25","67","32",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-26","42","32",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-27","53","14",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-28","60","28",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-29","60","45",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-30","37","30",
"USC00442208","DALE ENTERPRISE, VA US","1893-12-31","40","30",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-01","42","22",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-02","45","18",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-03","53","23",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-04","57","32",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-05","61","41",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-06","60","40",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-07","62","35",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-08","39","22",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-09","35","23",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-10","51","24",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-11","52","32",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-12","37","22",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-13","46","16",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-14","59","28",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-15","54","35",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-16","62","38",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-17","40","35",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-18","40","30",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-19","48","33",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-20","38","20",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-21","49","26",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-22","50","21",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-23","57","33",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-24","56","29",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-25","27","12",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-26","27","10",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-27","38","12",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-28","42","19",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-29","34","25",
"USC00442208","DALE ENTERPRISE, VA US","1894-01-30","40",,
"USC00442208","DALE ENTERPRISE, VA US","1894-01-31","52","34",
"USC00442208","DALE ENTERPRISE, VA US","1894-02-01","52","31",
